DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-01,0.49000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-02,0.43000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-03,0.43000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-04,0.49000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-07,0.50000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-08,0.51000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-09,0.51000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-10,0.48000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-11,0.47000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-14,0.46000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-15,0.44000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-16,0.45000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-17,0.46000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-18,0.47000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-21,0.47000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-22,0.45000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-23,0.45000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-24,0.40000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-25,0.42000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-28,0.43000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2019-01-29,0.42000,
