date;open_price;high_price;low_price;last_price;vwap_price;change_prev_close_percentage;num_trades;volume;turnover
30.12.2019;191;191;189;191;190,4986072;0;9;359;68389
27.12.2019;191;191;191;191;191;0;1;45;8595
23.12.2019;188;191;188;191;190,0167254;2,69;16;1136;215859
20.12.2019;191;192;186;186;187,4138211;-2,62;25;3075;576297,5
19.12.2019;191;191;191;191;191;0;3;54;10314
18.12.2019;191;191;191;191;191;-0,26;1;80;15280
17.12.2019;186,5;191,5;186,5;191,5;189,9782609;2,96;6;644;122346
16.12.2019;187,5;187,5;186;186;186,7214817;-1,06;29;3226;602363,5
13.12.2019;188,5;188,5;188;188;188,0228571;0;23;2275;427752
12.12.2019;189,5;189,5;188;188;188,5733802;-1,05;15;1281;241562,5
11.12.2019;191;191;190;190;190,1299505;-0,52;12;808;153625
10.12.2019;194;194;191;191;192,6585366;-1,55;5;205;39495
9.12.2019;192;194,5;192;194;193,7201923;0;9;1040;201469
6.12.2019;193,5;194;193,5;194;193,6212121;0,26;4;264;51116
5.12.2019;190;195;190;193,5;192,2297921;1,57;14;1732;332942
4.12.2019;189;190,5;188;190,5;189,9361827;1,33;15;854;162205,5
3.12.2019;186,5;188;186,5;188;187,78952;1,62;29;6813;1279410
2.12.2019;185,5;186;185;185;185,0870752;0;10;1648;305023,5
29.11.2019;187;187;185;185;185,0613378;-0,54;10;7206;1333552
28.11.2019;186;186;185;186;185,1002215;-0,27;13;3612;668582
27.11.2019;186,5;186,5;186;186,5;186,3496075;0;6;2038;379780,5
26.11.2019;186,5;186,5;186;186,5;186,3774752;0;9;808;150593
25.11.2019;186,5;187;186;186,5;186,181045;0,27;11;1646;306454
22.11.2019;186;186;186;186;186;0,54;1;170;31620
21.11.2019;186,5;186,5;185;185;185,1807116;-0,54;9;1068;197773
19.11.2019;186,5;186,5;186;186;186,2053571;-0,27;11;784;145985
18.11.2019;187,5;187,5;186,5;186,5;187,2371429;-0,53;6;175;32766,5
15.11.2019;186;187,5;185;187,5;186,5563792;1,35;33;4789;893418,5
14.11.2019;183;185;182,5;185;184,4253437;1,37;30;7347;1354973
13.11.2019;183;184;182,5;182,5;183,1407089;-0,82;17;931;170504
12.11.2019;184;184;184;184;184;0,55;3;99;18216
11.11.2019;183,5;183,5;183;183;183,0833333;0,27;6;600;109850
8.11.2019;183;183;182,5;182,5;182,9501385;-0,27;7;361;66045
7.11.2019;183;184,5;182,5;183;182,8360656;0;12;1220;223060
6.11.2019;184;184,5;182,5;183;183,4318618;-0,54;7;521;95568
5.11.2019;184;185;184;184;184,7558824;0,55;14;1700;314085
4.11.2019;183,5;183,5;180;183;181,4061417;0;33;4038;732518
31.10.2019;185;185;183;183;183,7147177;-0,54;14;496;91122,5
30.10.2019;185;185;184;184;184,2646154;-0,81;24;1625;299430
29.10.2019;184;185,5;184;185,5;184,7644158;1,37;23;2636;487039
28.10.2019;183;184;183;183;183,6689944;-0,54;14;358;65753,5
25.10.2019;184;184;183,5;184;183,814262;0;15;1809;332520
24.10.2019;185;185;183;184;184,4366359;-0,54;13;868;160091
23.10.2019;182,5;185;182,5;185;184,5910191;2,21;31;3719;686494
22.10.2019;181,5;183;181;181;181,34;-0,28;18;1625;294677,5
21.10.2019;182;183;181,5;181,5;182,0508658;0;14;924;168215
18.10.2019;184;184;181;181,5;182,9380471;-1,36;17;1485;271663
17.10.2019;183,5;184,5;183,5;184;183,8821082;0,27;16;721;132579
16.10.2019;177,5;184;177,5;183,5;179,9129624;4,26;58;10461;1882069,5
15.10.2019;175;178,5;175;176;176,9171182;0,86;34;4983;881578
14.10.2019;174;174,5;174;174,5;174,0696409;0,87;10;2757;479910
11.10.2019;172,5;173;172,5;173;172,9781692;0,58;22;4741;820089,5
10.10.2019;170,5;172;170,5;172;171,2643594;0,88;21;2037;348865,5
9.10.2019;170;170,5;169,5;170,5;169,8810573;-0,29;11;454;77126
7.10.2019;171;171;170;171;170,7466667;-0,29;7;600;102448
3.10.2019;170,5;171,5;170;171,5;170,5984925;0,88;15;995;169745,5
2.10.2019;172,5;173;170;170;171,6310557;-1,45;40;2766;474731,5
1.10.2019;171,5;173;171,5;172,5;172,0648464;-0,29;9;879;151245
30.9.2019;173;174;170,5;173;172,6598291;0,58;27;2925;505030
27.9.2019;172;172,5;170;172;171,6931246;0;34;2778;476963,5
26.9.2019;170;172;169,5;172;170,1560779;1,18;38;2361;401738,5
25.9.2019;170;170;169,5;170;169,7508306;0,29;4;301;51095
24.9.2019;169,5;170;169,5;169,5;169,5336372;0;39;2304;390605,5
23.9.2019;170,5;170,5;169;169,5;169,5186514;-0,29;30;2788;472618
20.9.2019;171;171;170;170;170,4166667;0;6;300;51125
19.9.2019;170;171,5;170;170;171,1287425;0;10;1169;200049,5
18.9.2019;170,5;170,5;170;170;170,1016166;-0,58;11;866;147308
17.9.2019;170;171;169,5;171;170,019685;0,59;8;635;107962,5
16.9.2019;170;172;170;170;170,8995929;0;14;737;125953
13.9.2019;170;171,5;169;170;170,6581281;0,59;13;1015;173218
12.9.2019;170;170;169;169;169,0608856;-0,59;16;1897;320708,5
11.9.2019;172;172;169;170;169,6088435;0;10;294;49865
10.9.2019;172;172;170;170;170,48;-1,16;3;25;4262
9.9.2019;171;172;169;172;169,0832899;0,58;19;7672;1297207
6.9.2019;170;171;170;171;170,6836735;0;7;490;83635
5.9.2019;170;171;169;171;170,1660714;0;8;280;47646,5
4.9.2019;171;171;171;171;171;0;2;85;14535
3.9.2019;170;171;169;171;170,1325444;0,59;9;845;143762
2.9.2019;170;170;166,5;170;168,3335366;-0,58;35;2460;414100,5
30.8.2019;170,5;171;169,5;171;170,1568627;0;9;510;86780
29.8.2019;171;171;169;171;169,8186149;0;48;2729;463435
28.8.2019;171,5;171,5;171;171;171,3660131;-1,16;8;459;78657
27.8.2019;172;173;172;173;172,0884184;0;9;1606;276374
26.8.2019;171,5;173;170;173;170,9023309;0,58;27;3046;520568,5
23.8.2019;173;173;172;172;172,13521;-0,58;15;4334;746034
22.8.2019;172;173,5;172;173;172,1697002;0,58;12;934;160806,5
21.8.2019;173;173;170,5;172;171,6983958;0;29;4239;727829,5
20.8.2019;172;172;171;172;171,9941659;0,88;25;3171;545393,5
19.8.2019;173;173;169;170,5;171,6088102;-1,45;50;3984;683689,5
16.8.2019;174;174;172;173;172,8585783;-0,86;46;2687;464471
14.8.2019;175;176;174,5;174,5;174,6835063;-0,29;29;1831;319845,5
13.8.2019;175;175;175;175;175;-0,57;18;1082;189350
12.8.2019;177,5;177,5;176;176;176,8722142;-0,85;32;2782;492058,5
9.8.2019;179;179,5;177;177,5;177,9479226;-0,84;24;1757;312654,5
8.8.2019;179,5;179,5;178;179;178,7900552;0;10;362;64722
7.8.2019;180;180;179;179;179,2308869;0;13;654;117217
6.8.2019;180;180;179;179;179,3428094;-1,1;30;4186;750729
2.8.2019;181,5;181,5;180,5;181;180,9134615;-0,55;20;832;150520
1.8.2019;182;184;181,5;182;181,9341114;-1,09;22;2656;483217
31.7.2019;184;184;184;184;184;1,66;3;70;12880
30.7.2019;185;186;181;181;182,7607025;-2,16;23;1822;332990
29.7.2019;186;186;183;185;184,4474982;-0,54;29;1419;261731
26.7.2019;184,5;186,5;184;186;185,0141764;0,81;42;2222;411101,5
25.7.2019;184,5;185;184,5;184,5;184,9446602;0;14;515;95246,5
24.7.2019;184;185;184;184,5;184,5438671;0,27;17;1174;216654,5
23.7.2019;183,5;184;183;184;183,3894081;0,27;9;321;58868
22.7.2019;183,5;183,5;183,5;183,5;183,5;0;16;647;118724,5
19.7.2019;182,5;183,5;182;183,5;182,6044532;0,55;26;1527;278837
18.7.2019;184;184;182,5;182,5;183,5751073;-1,08;17;1165;213865
17.7.2019;183,5;185;183;184,5;183,9074749;-2,89;22;1097;201746,5
16.7.2019;190;192;190;190;190,7011145;-0,78;32;1974;376444
15.7.2019;191,5;192;190;191,5;191,604698;0;12;745;142745,5
12.7.2019;191;191,5;190;191,5;190,8318668;0,26;20;1591;303613,5
11.7.2019;190;191;190;191;190,1935867;0,79;24;1684;320286
10.7.2019;187,5;189,5;187,5;189,5;188,8596295;1,07;56;4481;846280
9.7.2019;188;188,5;187,5;187,5;188,1820878;-0,27;16;1686;317275
8.7.2019;188,5;188,5;188;188;188,3371648;-0,27;29;2349;442404
5.7.2019;188;188,5;188;188,5;188,1992395;0,27;13;1315;247482
4.7.2019;187,5;188,5;187,5;188;188;0;9;303;56964
3.7.2019;187;188;187;188;187,5965092;0,53;7;487;91359,5
2.7.2019;188;188;187;187;187,475;-0,8;5;280;52493
1.7.2019;187;188,5;187;188,5;188,4265293;1,34;11;1504;283393,5
28.6.2019;186,5;186,5;186;186;186,125;-0,27;10;600;111675
27.6.2019;187;187;185;186,5;186,3028826;-0,53;25;2359;439488,5
26.6.2019;188,5;189;187;187,5;188,3806295;-0,53;15;2065;389006
24.6.2019;188;188,5;188;188,5;188,4348739;0;7;238;44847,5
21.6.2019;189;189;187;188,5;187,7714672;0,27;22;1479;277714
19.6.2019;189,5;189,5;188;188;188,4401244;-0,79;23;1286;242334
18.6.2019;189,5;190;188,5;189,5;189,4588101;0;13;874;165587
17.6.2019;190;190;189,5;189,5;189,5358255;0,53;9;642;121682
14.6.2019;189;189;188,5;188,5;188,5578231;-0,26;2;147;27718
13.6.2019;188;190;188;189;189,3509934;0,53;12;604;114368
12.6.2019;188;190;187;188;188,3715051;0,27;25;1681;316652,5
11.6.2019;186,5;188,5;185,5;187,5;186,8531646;0,54;46;4345;811877
10.6.2019;186,5;186,5;186;186,5;186,49;0;9;250;46622,5
7.6.2019;184;186,5;183,5;186,5;185,3119678;1,36;24;4345;805180,5
6.6.2019;184;184,5;184;184;184,1824034;-0,27;9;466;85829
5.6.2019;184;184,5;183,5;184,5;184,3141892;0,54;4;296;54557
4.6.2019;184,5;184,5;183,5;183,5;183,8214286;-0,54;6;196;36029
3.6.2019;182,5;184,5;182,5;184,5;183,2647059;1,37;6;102;18693
31.5.2019;182,5;183,5;182;182;182,177458;-0,55;10;1251;227904
30.5.2019;184,5;184,5;182;183;183,3262774;0;14;685;125578,5
29.5.2019;184;184,5;183;183;183,6808743;-0,54;8;915;168068
28.5.2019;185;185;184;184;184,8877641;-0,54;7;1136;210032,5
27.5.2019;185;185;185;185;185;0;5;237;43845
24.5.2019;183;185;183;185;184,262505;1,37;22;2499;460472
23.5.2019;181;182,5;180;182,5;181,2184993;1,39;21;2119;384002
22.5.2019;181;181;180;180;180,0212766;-0,55;10;940;169220
