"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-30";"CT";163,00;165,50;163,00;165,50;164,74459724951;0,30;7;509,00;83855,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-29";"CT";163,00;165,00;163,00;165,00;163,55072463768;0,00;5;69,00;11285,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-28";"CT";163,50;165,00;163,00;165,00;164,54828462516;1,85;12;1574,00;258999,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-27";"CT";162,00;162,50;162,00;162,00;162,16666666667;-0,92;5;150,00;24325,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-22";"CT";161,00;163,50;160,50;163,50;161,29661016949;2,19;5;118,00;19033,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-21";"CT";162,50;162,50;160,00;160,00;161,47142857143;-1,84;15;1225,00;197802,50
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-20";"CT";164,00;164,00;162,50;163,00;163,22680412371;0,62;11;388,00;63332,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-17";"CT";163,00;163,00;162,00;162,00;162,36144578313;0,00;4;83,00;13476,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-16";"CT";163,00;163,00;162,00;162,00;162,05913978495;-0,61;5;744,00;120572,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-15";"CT";163,00;163,00;163,00;163,00;163,00000000000;0,00;1;20,00;3260,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-14";"CT";163,00;163,00;163,00;163,00;163,00000000000;0,00;1;76,00;12388,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-13";"CT";163,00;165,00;162,00;163,00;163,01307007786;-0,61;10;3596,00;586195,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-10";"CT";163,00;164,00;163,00;164,00;163,26497695853;0,61;5;217,00;35428,50
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-09";"CT";162,00;163,00;162,00;163,00;162,08695652174;1,88;5;92,00;14912,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-08";"CT";160,00;160,00;160,00;160,00;160,00000000000;-1,23;1;150,00;24000,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-07";"CT";162,00;162,00;162,00;162,00;162,00000000000;0,00;4;570,00;92340,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-06";"CT";162,00;162,00;162,00;162,00;162,00000000000;0,93;1;30,00;4860,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-03";"CT";160,50;160,50;160,50;160,50;160,50000000000;0,31;1;18,00;2889,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-02";"CT";162,50;162,50;160,00;160,00;160,21459459459;-1,23;13;1850,00;296397,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-12-01";"CT";159,00;162,00;158,50;162,00;160,03978779841;1,25;7;377,00;60335,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-11-30";"CT";162,00;162,00;160,00;160,00;161,08968926554;-1,84;12;708,00;114051,50
"XZAG";"ADPL";"HRADPLRA0006";"2021-11-29";"CT";163,50;163,50;163,00;163,00;163,36585365854;-0,61;3;41,00;6698,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-11-26";"CT";164,50;164,50;163,00;164,00;164,20718232044;-0,30;6;362,00;59443,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-11-25";"CT";164,00;165,00;164,00;164,50;164,44951030057;0,30;15;2961,00;486935,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-11-24";"CT";162,00;164,00;162,00;164,00;163,80585898709;1,86;8;1007,00;164952,50
"XZAG";"ADPL";"HRADPLRA0006";"2021-11-23";"CT";161,50;161,50;160,00;161,00;161,10152284264;-1,53;3;197,00;31737,00
"XZAG";"ADPL";"HRADPLRA0006";"2021-11-22";"CT";163,50;163,50;163,50;163,50;163,50000000000;2,19;1;2,00;327,00
