"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-30";"CT";502,00;506,00;495,00;495,00;498,32185107864;-1,79;28;2874,00;1432177,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-27";"CT";500,00;504,00;500,00;504,00;502,85714285714;0,00;4;70,00;35200,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-23";"CT";502,00;504,00;502,00;504,00;502,86904761905;1,41;6;168,00;84482,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-20";"CT";502,00;502,00;497,00;497,00;497,30338436745;-0,20;13;2482,00;1234307,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-19";"CT";498,00;498,00;497,00;498,00;497,50935960591;-0,40;7;1015,00;504972,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-18";"CT";498,00;500,00;498,00;500,00;498,02985074627;0,00;6;670,00;333680,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-17";"CT";500,00;500,00;498,00;500,00;499,97365532382;0,00;9;911,00;455476,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-16";"CT";498,00;500,00;498,00;500,00;498,91435464415;0,40;7;829,00;413600,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-13";"CT";497,00;500,00;497,00;498,00;499,33417481855;0,61;15;3169,00;1582390,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-12";"CT";494,00;499,00;492,00;495,00;493,43402620877;0,00;22;4426,00;2183939,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-11";"CT";497,00;497,00;495,00;495,00;495,68469414545;-0,40;6;3809,00;1888063,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-10";"CT";496,00;497,00;494,00;497,00;496,19580052493;0,20;22;5715,00;2835759,00
"XZAG";"ADRS2";"HRADRSPA0009";"2019-12-09";"CT";496,00;496,00;496,00;496,00;496,00000000000;-0,40;4;329,00;163184,00
