"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-30";"CT";302,00;304,00;300,00;300,00;301,88387096774;0,00;8;620,00;187168,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-29";"CT";302,00;304,00;300,00;300,00;301,44217687075;-0,66;7;147,00;44312,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-28";"CT";302,00;302,00;302,00;302,00;302,00000000000;0,00;1;9,00;2718,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-27";"CT";302,00;302,00;302,00;302,00;302,00000000000;-0,66;1;24,00;7248,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-22";"CT";304,00;304,00;304,00;304,00;304,00000000000;0,66;1;4,00;1216,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-20";"CT";302,00;302,00;302,00;302,00;302,00000000000;-1,95;7;402,00;121404,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-15";"CT";304,00;308,00;304,00;308,00;307,91085082154;1,99;8;6147,00;1892728,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-10";"CT";300,00;302,00;300,00;302,00;301,99726027397;-0,66;3;730,00;220458,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-09";"CT";304,00;304,00;304,00;304,00;304,00000000000;1,33;3;500,00;152000,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-08";"CT";302,00;302,00;300,00;300,00;301,33750000000;-0,66;4;800,00;241070,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-07";"CT";302,00;302,00;302,00;302,00;302,00000000000;0,00;1;15,00;4530,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-06";"CT";302,00;302,00;302,00;302,00;302,00000000000;0,67;1;50,00;15100,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-12-02";"CT";302,00;302,00;300,00;300,00;300,02745098039;-0,66;4;510,00;153014,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-30";"CT";302,00;302,00;302,00;302,00;302,00000000000;0,67;3;706,00;213212,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-29";"CT";296,00;300,00;296,00;300,00;299,12138728324;0,67;6;865,00;258740,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-26";"CT";298,00;298,00;296,00;298,00;296,46608695652;-0,67;9;575,00;170468,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-24";"CT";300,00;300,00;300,00;300,00;300,00000000000;0,00;3;168,00;50400,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-23";"CT";300,00;300,00;300,00;300,00;300,00000000000;0,00;1;25,00;7500,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-17";"CT";300,00;300,00;300,00;300,00;300,00000000000;0,67;1;26,00;7800,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-16";"CT";298,00;298,00;298,00;298,00;298,00000000000;-0,67;1;20,00;5960,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-15";"CT";300,00;300,00;300,00;300,00;300,00000000000;0,00;3;102,00;30600,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-12";"CT";300,00;302,00;300,00;300,00;300,00712250712;0,00;12;5616,00;1684840,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-11";"CT";298,00;300,00;298,00;300,00;298,70410367171;0,67;6;1389,00;414900,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-10";"CT";298,00;300,00;298,00;298,00;298,37500000000;0,00;3;32,00;9548,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-09";"CT";300,00;300,00;298,00;298,00;298,37101449275;-0,67;6;345,00;102938,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-08";"CT";298,00;300,00;298,00;300,00;298,86956521739;-1,32;2;230,00;68740,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-05";"CT";300,00;304,00;300,00;304,00;300,50000000000;0,66;3;160,00;48080,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-04";"CT";304,00;304,00;302,00;302,00;302,87500000000;-0,66;2;16,00;4846,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-11-03";"CT";304,00;306,00;304,00;304,00;304,17699115044;-1,30;4;113,00;34372,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-29";"CT";320,00;320,00;308,00;308,00;312,12930428672;-3,75;10;1423,00;444160,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-28";"CT";322,00;322,00;320,00;320,00;320,91304347826;1,27;8;230,00;73810,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-27";"CT";316,00;316,00;316,00;316,00;316,00000000000;-0,63;4;520,00;164320,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-26";"CT";312,00;318,00;312,00;318,00;315,96730245232;1,92;10;734,00;231920,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-25";"CT";312,00;312,00;312,00;312,00;312,00000000000;0,65;5;200,00;62400,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-21";"CT";316,00;316,00;310,00;310,00;314,94117647059;-1,27;3;85,00;26770,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-20";"CT";314,00;314,00;314,00;314,00;314,00000000000;0,00;2;150,00;47100,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-19";"CT";316,00;316,00;314,00;314,00;314,91707317073;-0,63;7;615,00;193674,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-18";"CT";318,00;318,00;316,00;316,00;316,03333333333;-0,63;12;1200,00;379240,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-14";"CT";318,00;318,00;318,00;318,00;318,00000000000;0,00;4;374,00;118932,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-13";"CT";318,00;318,00;314,00;318,00;317,29166666667;0,63;4;144,00;45690,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-11";"CT";314,00;316,00;314,00;316,00;315,91501416431;0,00;7;353,00;111518,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-08";"CT";316,00;316,00;316,00;316,00;316,00000000000;0,64;1;3,00;948,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-07";"CT";314,00;318,00;314,00;314,00;315,71092915628;-0,63;14;2809,00;886832,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-06";"CT";316,00;318,00;316,00;316,00;316,35940803383;-1,25;8;946,00;299276,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-05";"CT";320,00;320,00;320,00;320,00;320,00000000000;0,00;5;72,00;23040,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-10-01";"CT";318,00;320,00;318,00;320,00;318,01192842942;1,91;3;503,00;159960,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-30";"CT";316,00;316,00;314,00;314,00;314,09359605911;-1,26;5;406,00;127522,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-28";"CT";318,00;318,00;318,00;318,00;318,00000000000;0,63;1;82,00;26076,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-27";"CT";316,00;316,00;316,00;316,00;316,00000000000;0,64;1;30,00;9480,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-23";"CT";314,00;314,00;314,00;314,00;314,00000000000;-0,63;1;68,00;21352,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-22";"CT";316,00;316,00;316,00;316,00;316,00000000000;0,00;1;10,00;3160,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-21";"CT";316,00;316,00;316,00;316,00;316,00000000000;1,94;1;100,00;31600,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-20";"CT";312,00;312,00;310,00;310,00;311,92610837438;-0,64;3;406,00;126642,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-17";"CT";314,00;314,00;312,00;312,00;313,52894066254;-0,64;5;2747,00;861264,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-16";"CT";314,00;314,00;314,00;314,00;314,00000000000;-0,63;5;2783,00;873862,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-15";"CT";316,00;316,00;316,00;316,00;316,00000000000;-0,63;4;379,00;119764,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-13";"CT";318,00;318,00;318,00;318,00;318,00000000000;-0,63;1;7,00;2226,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-09";"CT";320,00;320,00;320,00;320,00;320,00000000000;0,63;2;420,00;134400,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-08";"CT";318,00;318,00;318,00;318,00;318,00000000000;-1,24;2;41,00;13038,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-07";"CT";320,00;322,00;320,00;322,00;320,32258064516;1,90;9;3100,00;993000,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-06";"CT";316,00;316,00;316,00;316,00;316,00000000000;0,00;1;26,00;8216,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-03";"CT";320,00;320,00;316,00;316,00;318,57309941520;-0,63;4;342,00;108952,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-09-01";"CT";316,00;320,00;316,00;318,00;318,20473537604;1,27;11;1436,00;456942,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-31";"CT";312,00;314,00;312,00;314,00;313,89406779661;0,64;4;472,00;148158,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-26";"CT";306,00;312,00;306,00;312,00;310,58218318695;2,63;4;797,00;247534,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-25";"CT";306,00;308,00;304,00;304,00;305,39130434783;-0,65;3;23,00;7024,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-23";"CT";304,00;306,00;302,00;306,00;303,23214285714;0,66;4;336,00;101886,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-20";"CT";306,00;306,00;304,00;304,00;304,40954274354;-0,65;6;503,00;153118,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-18";"CT";310,00;310,00;306,00;306,00;308,04000000000;-0,65;3;100,00;30804,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-17";"CT";308,00;308,00;308,00;308,00;308,00000000000;-0,65;1;43,00;13244,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-16";"CT";312,00;312,00;310,00;310,00;310,01533635413;0,00;6;2869,00;889434,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-13";"CT";310,00;310,00;310,00;310,00;310,00000000000;0,00;1;250,00;77500,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-12";"CT";310,00;310,00;310,00;310,00;310,00000000000;-1,90;2;85,00;26350,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-11";"CT";312,00;316,00;310,00;316,00;313,60000000000;1,28;3;100,00;31360,00
"XZAG";"ARNT";"HRARNTRA0004";"2021-08-10";"CT";314,00;316,00;312,00;312,00;313,77678571429;0,00;12;896,00;281144,00
