"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-30";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;4;44,00;57200,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-27";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;1;1,00;1300,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-23";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;1;18,00;23400,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-20";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;12;164,00;213200,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-19";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;2;4,00;5200,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-18";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;-1,52;1;6,00;7800,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-17";"CT";1320,00;1320,00;1300,00;1320,00;1307,3608617594;0,00;5;557,00;728200,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-16";"CT";1310,00;1320,00;1300,00;1320,00;1314,7812500000;0,76;9;320,00;420730,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-13";"CT";1310,00;1310,00;1310,00;1310,00;1310,0000000000;0,77;3;200,00;262000,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-12";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;5;733,00;952900,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-11";"CT";1310,00;1310,00;1300,00;1300,00;1302,6000000000;0,00;2;50,00;65130,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-10";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;5;61,00;79300,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-09";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;1;10,00;13000,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-06";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;8;105,00;136500,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-05";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;1;141,00;183300,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-04";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;3;34,00;44200,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-03";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;3;46,00;59800,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-12-02";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;1;3,00;3900,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-29";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;-0,76;1;14,00;18200,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-28";"CT";1310,00;1310,00;1310,00;1310,00;1310,0000000000;0,77;4;100,00;131000,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-27";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;7;182,00;236600,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-26";"CT";1300,00;1300,00;1290,00;1300,00;1299,6592844974;-0,76;13;587,00;762900,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-25";"CT";1290,00;1320,00;1290,00;1310,00;1310,0900900901;-0,76;4;111,00;145420,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-21";"CT";1290,00;1320,00;1290,00;1320,00;1315,0000000000;1,54;2;12,00;15780,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-20";"CT";1320,00;1320,00;1300,00;1300,00;1312,8338762215;-0,76;13;307,00;403040,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-18";"CT";1300,00;1320,00;1300,00;1310,00;1310,8000000000;0,77;8;100,00;131080,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-15";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;2;12,00;15600,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-14";"CT";1310,00;1320,00;1300,00;1300,00;1303,6641221374;0,00;11;131,00;170780,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-13";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;2;36,00;46800,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-12";"CT";1300,00;1300,00;1300,00;1300,00;1300,0000000000;0,00;3;11,00;14300,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-11";"CT";1330,00;1330,00;1300,00;1300,00;1305,0000000000;-2,26;3;6,00;7830,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-08";"CT";1330,00;1330,00;1310,00;1330,00;1329,7183098592;0,00;9;284,00;377640,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-06";"CT";1340,00;1340,00;1320,00;1330,00;1327,9746835443;0,76;8;79,00;104910,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-05";"CT";1330,00;1330,00;1280,00;1320,00;1305,3505535055;-1,49;29;542,00;707500,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-11-04";"CT";1350,00;1350,00;1340,00;1340,00;1345,0000000000;0,00;2;2,00;2690,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-10-31";"CT";1340,00;1340,00;1330,00;1340,00;1335,7894736842;0,00;4;19,00;25380,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-10-30";"CT";1350,00;1350,00;1340,00;1340,00;1342,8846153846;-2,19;8;52,00;69830,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-10-29";"CT";1350,00;1380,00;1350,00;1370,00;1369,2307692308;-0,72;7;52,00;71200,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-10-24";"CT";1340,00;1380,00;1340,00;1380,00;1374,7826086957;-0,72;3;23,00;31620,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-10-23";"CT";1340,00;1390,00;1340,00;1390,00;1387,6190476190;0,72;2;21,00;29140,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-10-22";"CT";1380,00;1380,00;1380,00;1380,00;1380,0000000000;0,73;2;10,00;13800,00
"XZAG";"ATGR";"HRATGRRA0003";"2019-10-21";"CT";1380,00;1380,00;1330,00;1370,00;1363,2627118644;-0,72;10;236,00;321730,00
