"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-30";"CT";393,00;393,00;375,00;375,00;383,00000000000;1,90;10;64,00;24512,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-27";"CT";381,00;381,00;368,00;368,00;375,68773234201;-3,41;13;269,00;101060,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-23";"CT";385,00;386,00;381,00;381,00;382,80737704918;-1,04;9;244,00;93405,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-20";"CT";385,00;385,00;385,00;385,00;385,00000000000;1,05;2;50,00;19250,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-19";"CT";388,00;388,00;381,00;381,00;384,36458333333;-1,30;8;96,00;36899,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-18";"CT";383,00;386,00;383,00;386,00;384,12500000000;-2,77;3;24,00;9219,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-17";"CT";382,00;398,00;380,00;397,00;392,96350364964;0,51;6;137,00;53836,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-16";"CT";375,00;396,00;375,00;395,00;390,82485875706;5,33;12;177,00;69176,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-13";"CT";361,00;375,00;361,00;375,00;368,76991150442;4,17;11;113,00;41671,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-12";"CT";370,00;370,00;360,00;360,00;369,44444444444;-1,64;3;36,00;13300,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-11";"CT";368,00;368,00;364,00;366,00;365,12096774194;-3,68;14;124,00;45275,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-10";"CT";374,00;380,00;372,00;380,00;373,73118279570;1,60;9;93,00;34757,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-09";"CT";374,00;378,00;374,00;374,00;374,44475920680;-2,86;14;353,00;132179,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-06";"CT";389,00;389,00;385,00;385,00;385,71428571429;-1,53;8;210,00;81000,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-05";"CT";397,00;397,00;391,00;391,00;395,35151515152;-1,51;12;165,00;65233,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-04";"CT";400,00;406,00;397,00;397,00;398,53623188406;-1,49;9;138,00;54998,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-03";"CT";407,00;408,00;403,00;403,00;406,88750000000;-1,23;4;80,00;32551,00
"XZAG";"ATPL";"HRATPLRA0008";"2019-12-02";"CT";402,00;408,00;402,00;408,00;402,12552301255;0,00;14;239,00;96108,00
