mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;30.12.2021;2076,61;2085,23;2072,8;2079,35;0,15;5228661,87
XZAG;CBX;HRZB00ICBEX6;29.12.2021;2059,25;2076,26;2058,69;2076,26;0,83;4908815,35
XZAG;CBX;HRZB00ICBEX6;28.12.2021;2047,32;2062,65;2047,32;2059,25;0,56;3974052,07
XZAG;CBX;HRZB00ICBEX6;27.12.2021;2043,28;2050,59;2042,4;2047,73;0,24;4371709,01
XZAG;CBX;HRZB00ICBEX6;23.12.2021;2041,09;2042,76;2036,23;2042,76;0,05;7379839,48
XZAG;CBX;HRZB00ICBEX6;22.12.2021;2036,29;2043,49;2032,23;2041,65;0,31;2774063,8
XZAG;CBX;HRZB00ICBEX6;21.12.2021;2028,89;2036,76;2027,3;2035,4;0,3;3770927,9
XZAG;CBX;HRZB00ICBEX6;20.12.2021;2035,03;2039;2025,47;2029,41;-0,28;5118219,74
XZAG;CBX;HRZB00ICBEX6;17.12.2021;2034,1;2039,68;2029,79;2035,2;0,05;5499671,68
XZAG;CBX;HRZB00ICBEX6;16.12.2021;2022,09;2034,79;2022,09;2034,1;0,68;5506784,47
XZAG;CBX;HRZB00ICBEX6;15.12.2021;2021,15;2024,01;2014,9;2020,35;-0,04;13004298,3
XZAG;CBX;HRZB00ICBEX6;14.12.2021;2016,02;2021,5;2014,75;2021,15;0,25;7113237,93
XZAG;CBX;HRZB00ICBEX6;13.12.2021;2015,91;2027,68;2014,76;2016,02;-0,02;9001269,92
XZAG;CBX;HRZB00ICBEX6;10.12.2021;2010,31;2016,43;2005,3;2016,43;0,28;5487739,82
XZAG;CBX;HRZB00ICBEX6;9.12.2021;1997,42;2010,83;1996,91;2010,83;0,75;2114897,72
XZAG;CBX;HRZB00ICBEX6;8.12.2021;2002,57;2003,09;1994,16;1995,79;-0,37;3295546,48
XZAG;CBX;HRZB00ICBEX6;7.12.2021;1993,24;2006,02;1993,24;2003,15;0,57;7905205,54
XZAG;CBX;HRZB00ICBEX6;6.12.2021;1993,37;1999,63;1991,31;1991,88;-0,07;4311372,28
XZAG;CBX;HRZB00ICBEX6;3.12.2021;1986,59;1994,9;1986,59;1993,37;0,37;2391317,8
XZAG;CBX;HRZB00ICBEX6;2.12.2021;1991,57;1991,87;1984,74;1985,93;-0,28;4366197,98
XZAG;CBX;HRZB00ICBEX6;1.12.2021;1981;1992,5;1979,99;1991,57;0,53;2535921,26
XZAG;CBX;HRZB00ICBEX6;30.11.2021;1980,64;1983,86;1977,7;1981;0,02;7637965,86
XZAG;CBX;HRZB00ICBEX6;29.11.2021;1984,8;1984,8;1975,06;1980,64;-0,23;6414309,98
XZAG;CBX;HRZB00ICBEX6;26.11.2021;2003,79;2003,79;1982,01;1985,29;-0,98;9129197,68
XZAG;CBX;HRZB00ICBEX6;25.11.2021;2000,63;2005,06;2000,51;2004,9;0,21;2808482,62
XZAG;CBX;HRZB00ICBEX6;24.11.2021;1996,39;2003,66;1996,39;2000,63;0,21;2156866,5
XZAG;CBX;HRZB00ICBEX6;23.11.2021;2007,94;2007,94;1994,5;1996,39;-0,58;3866015,35
XZAG;CBX;HRZB00ICBEX6;22.11.2021;1996;2011,15;1996;2007,94;0,69;3432294,5
XZAG;CBX;HRZB00ICBEX6;19.11.2021;1991,99;1998,33;1991,11;1994,26;0,12;4140919,77
XZAG;CBX;HRZB00ICBEX6;17.11.2021;1995,01;1998,07;1988,78;1991,81;-0,11;5690580,58
