mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX10;HRZB00ICBE11;30.12.2021;1261,71;1265,81;1259,25;1262,31;0,06;4049936,1
XZAG;CBX10;HRZB00ICBE11;29.12.2021;1252,76;1261,57;1252,13;1261,57;0,7;4160709,9
XZAG;CBX10;HRZB00ICBE11;28.12.2021;1249,47;1254,84;1249,47;1252,76;0,26;2505625,3
XZAG;CBX10;HRZB00ICBE11;27.12.2021;1245,98;1251,46;1245,64;1249,47;0,33;3482192,4
XZAG;CBX10;HRZB00ICBE11;23.12.2021;1249,96;1250,12;1243,44;1245,34;-0,37;3992370,4
XZAG;CBX10;HRZB00ICBE11;22.12.2021;1246,12;1250,75;1244,82;1249,96;0,34;2274711,3
XZAG;CBX10;HRZB00ICBE11;21.12.2021;1242,35;1248,18;1242,35;1245,78;0,22;3333766,5
XZAG;CBX10;HRZB00ICBE11;20.12.2021;1247,58;1249,12;1239,64;1242,99;-0,37;3983259,4
XZAG;CBX10;HRZB00ICBE11;17.12.2021;1246,83;1249,46;1243,66;1247,64;0,06;5226484,5
XZAG;CBX10;HRZB00ICBE11;16.12.2021;1238,49;1247,14;1238,49;1246,83;0,73;4860402,2
XZAG;CBX10;HRZB00ICBE11;15.12.2021;1237,02;1239,15;1232,61;1237,81;0,06;12084712
XZAG;CBX10;HRZB00ICBE11;14.12.2021;1232;1237,44;1231,95;1237,02;0,41;6671555,9
XZAG;CBX10;HRZB00ICBE11;13.12.2021;1232,76;1236,99;1230,28;1232;-0,11;7732936,3
XZAG;CBX10;HRZB00ICBE11;10.12.2021;1233,55;1233,55;1230;1233,39;-0,06;4163673,5
XZAG;CBX10;HRZB00ICBE11;9.12.2021;1225,13;1234,33;1225,13;1234,19;0,69;1859383,2
XZAG;CBX10;HRZB00ICBE11;8.12.2021;1228,1;1228,85;1224,33;1225,76;-0,21;2668632,5
XZAG;CBX10;HRZB00ICBE11;7.12.2021;1223,88;1231,45;1223,88;1228,33;0,43;7285328,8
XZAG;CBX10;HRZB00ICBE11;6.12.2021;1223,9;1229,54;1223,08;1223,08;-0,07;3518577,5
XZAG;CBX10;HRZB00ICBE11;3.12.2021;1218,43;1225,04;1218,43;1223,9;0,51;1804333,8
XZAG;CBX10;HRZB00ICBE11;2.12.2021;1221,32;1222,96;1217,41;1217,69;-0,3;3909427,1
XZAG;CBX10;HRZB00ICBE11;1.12.2021;1213,4;1221,68;1213,02;1221,32;0,65;1661751,8
XZAG;CBX10;HRZB00ICBE11;30.11.2021;1214,35;1215,25;1210,98;1213,4;-0,03;6638766,9
XZAG;CBX10;HRZB00ICBE11;29.11.2021;1215,32;1216,37;1210,26;1213,79;-0,16;4666001,8
XZAG;CBX10;HRZB00ICBE11;26.11.2021;1228,86;1228,86;1215,53;1215,74;-1,07;7692719,5
XZAG;CBX10;HRZB00ICBE11;25.11.2021;1226,86;1229,1;1226,08;1228,86;0,18;2096150
XZAG;CBX10;HRZB00ICBE11;24.11.2021;1225,06;1228,19;1224,22;1226,65;0,13;1835311,5
XZAG;CBX10;HRZB00ICBE11;23.11.2021;1228,9;1228,9;1224,15;1225,06;-0,31;2857273
XZAG;CBX10;HRZB00ICBE11;22.11.2021;1222,99;1230,79;1222,91;1228,9;0,54;2593325,3
XZAG;CBX10;HRZB00ICBE11;19.11.2021;1222,13;1224,59;1221,67;1222,31;0,02;3343179,1
XZAG;CBX10;HRZB00ICBE11;17.11.2021;1223,13;1225,25;1221,75;1222,06;-0,06;4443385,5
XZAG;CBX10;HRZB00ICBE11;16.11.2021;1227,41;1227,69;1222,76;1222,76;-0,41;4252696,5
XZAG;CBX10;HRZB00ICBE11;15.11.2021;1236,78;1237,35;1227,83;1227,83;-0,72;2652380,7
XZAG;CBX10;HRZB00ICBE11;12.11.2021;1234,83;1237,67;1234,83;1236,78;0,16;4146805,7
XZAG;CBX10;HRZB00ICBE11;11.11.2021;1232,79;1236,11;1230,88;1234,83;0,17;6123436,6
XZAG;CBX10;HRZB00ICBE11;10.11.2021;1236,4;1238,21;1232,79;1232,79;-0,14;2487995,9
XZAG;CBX10;HRZB00ICBE11;9.11.2021;1236,94;1237,54;1233,88;1234,5;-0,1;2118587,5
XZAG;CBX10;HRZB00ICBE11;8.11.2021;1230,78;1239,63;1228,18;1235,68;0,38;2322317,4
XZAG;CBX10;HRZB00ICBE11;5.11.2021;1235,37;1239,85;1230,91;1230,96;-0,34;2976203,1
XZAG;CBX10;HRZB00ICBE11;4.11.2021;1242,45;1243,66;1234,17;1235,1;-0,63;3625759
XZAG;CBX10;HRZB00ICBE11;3.11.2021;1236,78;1243,36;1233,29;1242,87;0,48;5901857,3
XZAG;CBX10;HRZB00ICBE11;2.11.2021;1250,29;1250,29;1236,87;1236,99;-1,02;9989668,4
XZAG;CBX10;HRZB00ICBE11;29.10.2021;1259,23;1262,69;1248,65;1249,75;-0,66;10180884,8
XZAG;CBX10;HRZB00ICBE11;28.10.2021;1236,79;1259,99;1236,13;1257,99;1,79;7152703,5
XZAG;CBX10;HRZB00ICBE11;27.10.2021;1244,63;1244,63;1233,17;1235,84;-0,66;8193354,5
XZAG;CBX10;HRZB00ICBE11;26.10.2021;1245,58;1247,84;1243,39;1244;-0,14;5509772
XZAG;CBX10;HRZB00ICBE11;25.10.2021;1245,07;1250;1243,58;1245,72;0,12;6548143,8
XZAG;CBX10;HRZB00ICBE11;22.10.2021;1243,87;1249,86;1243,87;1244,17;0,02;1388914,7
XZAG;CBX10;HRZB00ICBE11;21.10.2021;1246,95;1249,51;1243,34;1243,87;-0,25;2727606
XZAG;CBX10;HRZB00ICBE11;20.10.2021;1246,4;1249,8;1243,31;1246,95;-0,01;3759561,7
XZAG;CBX10;HRZB00ICBE11;19.10.2021;1243,52;1247,71;1242,5;1247,04;0,21;2647912,7
XZAG;CBX10;HRZB00ICBE11;18.10.2021;1246,08;1248;1244,1;1244,38;-0,14;5969386,9
XZAG;CBX10;HRZB00ICBE11;15.10.2021;1246,56;1251,1;1244,38;1246,08;-0,07;3944892
XZAG;CBX10;HRZB00ICBE11;14.10.2021;1244,76;1252,17;1244,58;1246,98;0,18;6685187
XZAG;CBX10;HRZB00ICBE11;13.10.2021;1243,85;1245,33;1238,82;1244,76;0,07;9875993,5
XZAG;CBX10;HRZB00ICBE11;12.10.2021;1243,7;1247,01;1241,68;1243,85;0,02;5078538,3
XZAG;CBX10;HRZB00ICBE11;11.10.2021;1242,37;1246,24;1237,24;1243,56;0,04;7132527,9
XZAG;CBX10;HRZB00ICBE11;8.10.2021;1249,43;1252,15;1242,51;1243,05;-0,5;4088944,2
XZAG;CBX10;HRZB00ICBE11;7.10.2021;1245,33;1254,3;1245,1;1249,3;0,32;8180006,7
XZAG;CBX10;HRZB00ICBE11;6.10.2021;1245,22;1252,18;1241,52;1245,33;0,01;9949468,1
XZAG;CBX10;HRZB00ICBE11;5.10.2021;1244,33;1249,51;1236,23;1245,22;-0,23;9925158,7
XZAG;CBX10;HRZB00ICBE11;4.10.2021;1251,77;1253,4;1241,95;1248,07;-0,06;9754413,2
XZAG;CBX10;HRZB00ICBE11;1.10.2021;1228,54;1254,21;1228,09;1248,78;1,65;17430686,6
XZAG;CBX10;HRZB00ICBE11;30.9.2021;1216,58;1229,18;1215,31;1228,54;0,98;28728791,7
XZAG;CBX10;HRZB00ICBE11;29.9.2021;1216,17;1221,58;1214,13;1216,58;0,03;9532980,7
XZAG;CBX10;HRZB00ICBE11;28.9.2021;1212,01;1218,01;1211,14;1216,17;0,47;7736996,3
XZAG;CBX10;HRZB00ICBE11;27.9.2021;1208,59;1211,5;1205,3;1210,52;0,16;5420250,2
