"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-30";"CT";1400,00;1405,00;1395,00;1400,00;1401,17021276600;0,00;10;94,00;131710,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-27";"CT";1400,00;1400,00;1400,00;1400,00;1400,00000000000;0,00;8;235,00;329000,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-23";"CT";1405,00;1405,00;1400,00;1400,00;1402,01754385960;0,00;9;114,00;159830,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-20";"CT";1405,00;1415,00;1380,00;1400,00;1403,91990291260;-0,36;24;412,00;578415,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-19";"CT";1405,00;1410,00;1405,00;1405,00;1406,92307692310;0,36;6;52,00;73160,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-18";"CT";1395,00;1410,00;1395,00;1400,00;1401,26436781610;0,36;19;174,00;243820,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-17";"CT";1395,00;1400,00;1385,00;1395,00;1387,72563176900;0,72;15;831,00;1153200,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-16";"CT";1370,00;1395,00;1370,00;1385,00;1388,32891246680;1,84;18;377,00;523400,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-13";"CT";1340,00;1360,00;1340,00;1360,00;1354,85549132950;1,49;13;346,00;468780,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-12";"CT";1345,00;1345,00;1340,00;1340,00;1343,57142857140;0,00;2;7,00;9405,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-11";"CT";1330,00;1340,00;1330,00;1340,00;1339,77011494250;0,75;4;87,00;116560,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-10";"CT";1330,00;1330,00;1330,00;1330,00;1330,00000000000;-0,75;11;977,00;1299410,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-06";"CT";1355,00;1355,00;1340,00;1340,00;1349,90000000000;-1,47;10;100,00;134990,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-05";"CT";1360,00;1360,00;1360,00;1360,00;1360,00000000000;0,00;5;33,00;44880,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-04";"CT";1360,00;1360,00;1360,00;1360,00;1360,00000000000;0,00;10;103,00;140080,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-03";"CT";1360,00;1360,00;1360,00;1360,00;1360,00000000000;0,00;2;50,00;68000,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-12-02";"CT";1325,00;1360,00;1325,00;1360,00;1343,12091503270;3,03;13;306,00;410995,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-29";"CT";1320,00;1320,00;1320,00;1320,00;1320,00000000000;-0,38;5;66,00;87120,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-28";"CT";1310,00;1325,00;1310,00;1325,00;1321,17647058820;0,76;4;17,00;22460,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-27";"CT";1340,00;1350,00;1315,00;1315,00;1330,45267489710;-1,87;44;972,00;1293200,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-26";"CT";1375,00;1375,00;1340,00;1340,00;1362,55725190840;-2,90;16;131,00;178495,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-25";"CT";1390,00;1395,00;1375,00;1380,00;1385,09009009010;-0,72;12;111,00;153745,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-22";"CT";1385,00;1395,00;1385,00;1390,00;1388,75739644970;0,72;13;169,00;234700,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-21";"CT";1350,00;1380,00;1350,00;1380,00;1360,13803680980;2,60;16;326,00;443405,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-20";"CT";1340,00;1350,00;1340,00;1345,00;1342,36526946110;0,37;18;167,00;224175,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-19";"CT";1330,00;1340,00;1330,00;1340,00;1334,41176470590;0,75;11;102,00;136110,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-18";"CT";1320,00;1330,00;1320,00;1330,00;1321,23456790120;2,31;8;81,00;107020,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-15";"CT";1315,00;1320,00;1300,00;1300,00;1302,21428571430;-0,76;6;70,00;91155,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-14";"CT";1300,00;1310,00;1300,00;1310,00;1308,83064516130;0,77;11;496,00;649180,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-13";"CT";1275,00;1310,00;1275,00;1300,00;1289,62145110410;1,96;30;634,00;817620,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-12";"CT";1275,00;1275,00;1275,00;1275,00;1275,00000000000;0,00;2;17,00;21675,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-11";"CT";1280,00;1285,00;1275,00;1275,00;1284,00943396230;-0,39;13;318,00;408315,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-08";"CT";1285,00;1285,00;1280,00;1280,00;1282,54629629630;-0,78;10;324,00;415545,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-07";"CT";1275,00;1290,00;1270,00;1290,00;1283,38449111470;1,18;15;619,00;794415,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-06";"CT";1280,00;1280,00;1270,00;1275,00;1275,77647058820;-0,39;15;425,00;542205,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-05";"CT";1280,00;1290,00;1280,00;1280,00;1280,37128712870;-1,16;18;202,00;258635,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-11-04";"CT";1270,00;1295,00;1265,00;1295,00;1281,08928571430;2,37;31;560,00;717410,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-10-31";"CT";1275,00;1275,00;1265,00;1265,00;1273,85964912280;0,40;9;114,00;145220,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-10-30";"CT";1270,00;1285,00;1260,00;1260,00;1271,79389312980;0,80;8;131,00;166605,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-10-29";"CT";1235,00;1290,00;1235,00;1250,00;1263,58000000000;1,63;32;250,00;315895,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-10-28";"CT";1235,00;1250,00;1230,00;1230,00;1241,09808102350;-0,81;16;469,00;582075,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-10-25";"CT";1235,00;1240,00;1235,00;1240,00;1237,60000000000;0,40;3;25,00;30940,00
"XZAG";"ERNT";"HRERNTRA0000";"2019-10-24";"CT";1230,00;1235,00;1230,00;1235,00;1231,85714285710;1,65;7;35,00;43115,00
