"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"HT";"HRHT00RA0005";"2019-12-30";"CT";173,50;175,00;173,50;175,00;174,16468785906;0,86;32;7833,00;1364232,00
"XZAG";"HT";"HRHT00RA0005";"2019-12-27";"CT";173,00;174,00;173,00;173,50;173,30151367188;0,29;36;2048,00;354921,50
"XZAG";"HT";"HRHT00RA0005";"2019-12-23";"CT";173,00;174,00;173,00;173,00;173,15374841169;0,29;19;1574,00;272544,00
"XZAG";"HT";"HRHT00RA0005";"2019-12-20";"CT";172,50;173,50;172,50;172,50;172,74212144504;0,00;24;3903,00;674212,50
"XZAG";"HT";"HRHT00RA0005";"2019-12-19";"CT";172,50;173,00;172,50;172,50;172,55888429752;0,00;15;968,00;167037,00
"XZAG";"HT";"HRHT00RA0005";"2019-12-18";"CT";173,50;174,00;172,50;172,50;173,20007621951;-0,86;19;2624,00;454477,00
"XZAG";"HT";"HRHT00RA0005";"2019-12-17";"CT";173,00;174,00;172,50;174,00;173,04172268101;0,58;25;10414,00;1802056,50
"XZAG";"HT";"HRHT00RA0005";"2019-12-16";"CT";173,00;173,50;172,00;173,00;172,93606819393;0,58;29;3754,00;649202,00
"XZAG";"HT";"HRHT00RA0005";"2019-12-13";"CT";171,00;173,50;171,00;172,00;172,13206162876;1,18;42;17719,00;3050008,00
"XZAG";"HT";"HRHT00RA0005";"2019-12-12";"CT";169,50;170,50;169,50;170,00;169,97215496368;0,29;19;826,00;140397,00
"XZAG";"HT";"HRHT00RA0005";"2019-12-11";"CT";169,50;170,00;169,50;169,50;169,73948948949;0,00;13;666,00;113046,50
"XZAG";"HT";"HRHT00RA0005";"2019-12-10";"CT";169,50;170,00;169,50;169,50;169,56136363636;0,00;25;1320,00;223821,00
"XZAG";"HT";"HRHT00RA0005";"2019-12-09";"CT";170,00;170,00;169,50;169,50;169,73971103327;0,00;29;2284,00;387685,50
"XZAG";"HT";"HRHT00RA0005";"2019-12-06";"CT";169,50;170,50;169,50;169,50;169,96133265384;0,00;27;7849,00;1334026,50
"XZAG";"HT";"HRHT00RA0005";"2019-12-05";"CT";170,00;170,50;169,50;169,50;169,62480277690;0,00;18;3169,00;537541,00
"XZAG";"HT";"HRHT00RA0005";"2019-12-04";"CT";170,00;170,00;169,50;169,50;169,56401137980;-0,29;15;703,00;119203,50
"XZAG";"HT";"HRHT00RA0005";"2019-12-03";"CT";169,50;170,50;169,50;170,00;170,01752966559;0,29;29;1854,00;315212,50
"XZAG";"HT";"HRHT00RA0005";"2019-12-02";"CT";169,50;169,50;169,00;169,50;169,49748743719;0,00;29;4179,00;708330,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-29";"CT";169,00;169,50;169,00;169,50;169,36853971557;0,00;14;2883,00;488289,50
"XZAG";"HT";"HRHT00RA0005";"2019-11-28";"CT";169,00;169,50;169,00;169,50;169,13709677419;0,00;11;558,00;94378,50
"XZAG";"HT";"HRHT00RA0005";"2019-11-27";"CT";169,00;169,50;169,00;169,50;169,37570942111;-0,29;21;3524,00;596880,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-26";"CT";169,50;170,00;169,50;170,00;169,57631160572;0,29;34;2516,00;426654,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-25";"CT";169,50;170,00;169,50;169,50;169,78147482014;0,30;33;2780,00;471992,50
"XZAG";"HT";"HRHT00RA0005";"2019-11-22";"CT";169,00;169,00;169,00;169,00;169,00000000000;0,30;14;1380,00;233220,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-21";"CT";169,00;169,00;168,00;168,50;168,32616736015;0,30;28;2163,00;364089,50
"XZAG";"HT";"HRHT00RA0005";"2019-11-20";"CT";168,50;169,00;168,00;168,00;168,51993561169;-0,30;24;4038,00;680483,50
"XZAG";"HT";"HRHT00RA0005";"2019-11-19";"CT";168,50;169,00;168,50;168,50;168,52812148481;0,00;17;889,00;149821,50
"XZAG";"HT";"HRHT00RA0005";"2019-11-18";"CT";168,50;169,00;168,50;168,50;168,52009646302;0,00;28;2488,00;419278,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-15";"CT";168,00;169,00;168,00;168,50;168,75680000000;0,30;25;2500,00;421892,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-14";"CT";168,00;169,00;168,00;168,00;168,03194888179;0,00;24;2504,00;420752,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-13";"CT";168,50;169,00;168,00;168,00;168,07771026543;-0,30;31;3127,00;525579,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-12";"CT";168,50;169,00;168,00;168,50;168,41410891089;0,00;24;2020,00;340196,50
"XZAG";"HT";"HRHT00RA0005";"2019-11-11";"CT";168,50;169,00;168,50;168,50;168,70898876404;-0,30;16;2670,00;450453,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-08";"CT";169,00;169,00;168,50;169,00;168,95555327448;0,00;21;4871,00;822982,50
"XZAG";"HT";"HRHT00RA0005";"2019-11-07";"CT";169,00;169,50;168,50;169,00;168,92810949015;0,00;31;6649,00;1123203,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-06";"CT";169,00;169,50;169,00;169,00;169,00086547972;0,00;23;4044,00;683439,50
"XZAG";"HT";"HRHT00RA0005";"2019-11-05";"CT";168,50;169,50;168,50;169,00;168,89982003599;0,30;23;1667,00;281556,00
"XZAG";"HT";"HRHT00RA0005";"2019-11-04";"CT";168,00;169,00;168,00;168,50;168,41160027952;0,30;35;5724,00;963988,00
"XZAG";"HT";"HRHT00RA0005";"2019-10-31";"CT";170,00;170,00;168,00;168,00;168,94370191934;-1,47;69;12869,00;2174136,50
"XZAG";"HT";"HRHT00RA0005";"2019-10-30";"CT";171,00;171,50;170,50;170,50;170,72091635295;-0,29;26;10891,00;1859321,50
"XZAG";"HT";"HRHT00RA0005";"2019-10-29";"CT";172,00;172,50;171,00;171,00;171,68597359736;-0,29;32;6060,00;1040417,00
"XZAG";"HT";"HRHT00RA0005";"2019-10-28";"CT";170,00;172,50;170,00;171,50;171,62066365008;1,18;32;7293,00;1251629,50
