"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-30";"CT";890,00;900,00;880,00;900,00;895,57640750670;2,27;12;373,00;334050,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-29";"CT";880,00;885,00;875,00;880,00;879,34895833333;1,15;7;576,00;506505,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-27";"CT";870,00;870,00;870,00;870,00;870,00000000000;0,00;1;16,00;13920,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-23";"CT";875,00;875,00;870,00;870,00;874,51923076923;-0,57;3;104,00;90950,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-22";"CT";880,00;880,00;875,00;875,00;878,53448275862;-0,57;2;58,00;50955,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-21";"CT";880,00;880,00;870,00;880,00;875,61278863233;0,57;12;563,00;492970,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-20";"CT";880,00;885,00;870,00;875,00;873,94859813084;-1,13;8;214,00;187025,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-17";"CT";870,00;885,00;870,00;885,00;880,95155709343;1,72;14;289,00;254595,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-16";"CT";860,00;870,00;850,00;870,00;865,22829006267;2,35;20;1117,00;966460,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-15";"CT";840,00;850,00;840,00;850,00;843,67015706806;1,80;13;1910,00;1611410,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-14";"CT";835,00;835,00;825,00;835,00;833,91601562500;1,83;8;512,00;426965,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-13";"CT";830,00;835,00;820,00;820,00;833,13630041725;0,00;12;719,00;599025,00
"XZAG";"KOEI";"HRKOEIRA0009";"2021-12-10";"CT";805,00;820,00;805,00;820,00;813,58333333333;1,23;13;600,00;488150,00
