"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"PODR";"HRPODRRA0004";"2019-12-30";"CT";480,00;484,00;478,00;484,00;482,11235955056;0,21;11;890,00;429080,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-27";"CT";473,00;483,00;472,00;483,00;479,43977591036;0,84;21;1785,00;855800,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-23";"CT";471,00;479,00;471,00;479,00;476,09481216458;1,70;9;559,00;266137,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-20";"CT";475,00;480,00;471,00;471,00;472,66542404473;0,00;9;1073,00;507170,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-18";"CT";468,00;471,00;465,00;471,00;467,07805255023;0,64;19;2588,00;1208798,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-17";"CT";472,00;472,00;468,00;468,00;470,45447389137;-1,27;34;3811,00;1792902,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-16";"CT";474,00;475,00;473,00;474,00;474,14051669817;0,00;23;1587,00;752461,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-13";"CT";475,00;476,00;474,00;474,00;475,52226233454;0,21;15;831,00;395159,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-12";"CT";476,00;476,00;473,00;473,00;475,21631205674;-0,42;11;564,00;268022,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-11";"CT";477,00;477,00;475,00;475,00;476,29515418502;-0,42;12;1135,00;540595,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-10";"CT";477,00;477,00;477,00;477,00;477,00000000000;-1,24;4;206,00;98262,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-09";"CT";477,00;483,00;477,00;483,00;480,44368600683;0,00;10;293,00;140770,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-06";"CT";483,00;487,00;480,00;483,00;482,70986745214;-0,82;14;679,00;327760,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-05";"CT";482,00;487,00;482,00;487,00;483,56739811912;0,21;5;319,00;154258,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-04";"CT";489,00;489,00;485,00;486,00;486,99047619048;0,62;25;2100,00;1022680,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-03";"CT";482,00;486,00;482,00;483,00;485,01742160279;-0,82;14;574,00;278400,00
"XZAG";"PODR";"HRPODRRA0004";"2019-12-02";"CT";484,00;489,00;484,00;487,00;486,59351032448;0,00;21;1695,00;824776,00
"XZAG";"PODR";"HRPODRRA0004";"2019-11-29";"CT";490,00;490,00;487,00;487,00;488,98857526882;0,21;9;1488,00;727615,00
