"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover"
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-30";"CT";32,70;33,20;32,70;33,00;32,976279863481;0,00;13;9376,00;309185,60
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-29";"CT";32,30;33,00;32,30;33,00;32,932252596810;2,17;35;46018,00;1515476,40
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-28";"CT";32,60;32,80;32,20;32,30;32,565211304576;-0,62;19;11429,00;372187,80
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-27";"CT";32,00;32,70;32,00;32,50;32,423117017467;1,88;39;50266,00;1629780,40
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-23";"CT";31,90;32,20;31,90;31,90;31,903091228952;-0,93;13;3979,00;126942,40
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-22";"CT";31,90;32,20;31,90;32,20;31,991477090676;0,00;13;6242,00;199690,80
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-21";"CT";32,00;32,20;31,80;32,20;31,976477024070;0,94;8;1828,00;58453,00
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-20";"CT";32,20;32,20;31,90;31,90;31,988401559454;-1,24;15;9234,00;295380,90
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-17";"CT";32,10;32,50;32,10;32,30;32,303218098485;0,31;34;71564,00;2311747,50
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-16";"CT";32,00;32,20;31,90;32,20;32,037038641215;0,31;19;32323,00;1035533,20
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-15";"CT";31,40;32,10;31,40;32,10;31,903373847970;1,26;57;79642,00;2540848,50
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-14";"CT";31,50;31,70;31,40;31,70;31,505961092272;0,63;14;5603,00;176527,90
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-13";"CT";31,80;31,80;31,50;31,50;31,636687067941;-0,32;19;22711,00;718500,80
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-10";"CT";31,50;31,60;31,50;31,60;31,519546520719;-0,63;13;5116,00;161254,00
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-09";"CT";31,50;31,80;31,50;31,80;31,529527394396;0,95;7;4782,00;150774,20
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-08";"CT";31,40;31,50;31,30;31,50;31,447931034483;-0,32;6;5800,00;182398,00
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-07";"CT";31,40;31,70;31,40;31,60;31,614431179775;0,32;15;5696,00;180075,80
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-06";"CT";31,10;31,50;31,10;31,50;31,344556696297;0,96;27;30487,00;955601,50
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-03";"CT";31,20;31,30;31,10;31,20;31,205497279652;-0,32;18;22975,00;716946,30
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-02";"CT";30,90;31,30;30,90;31,30;31,100172413793;1,62;14;61480,00;1912038,60
"XZAG";"RIVP";"HRRIVPRA0000";"2021-12-01";"CT";30,80;30,90;30,80;30,80;30,818628220684;0,00;18;14011,00;431799,80
"XZAG";"RIVP";"HRRIVPRA0000";"2021-11-30";"CT";31,20;31,20;30,70;30,80;30,804453509874;-1,28;64;70843,00;2182279,90
"XZAG";"RIVP";"HRRIVPRA0000";"2021-11-29";"CT";31,70;31,70;31,10;31,20;31,241505011316;-1,89;34;24744,00;773039,80
"XZAG";"RIVP";"HRRIVPRA0000";"2021-11-26";"CT";31,90;31,90;31,50;31,80;31,656860392571;-0,31;25;20837,00;659634,00
"XZAG";"RIVP";"HRRIVPRA0000";"2021-11-25";"CT";31,90;31,90;31,90;31,90;31,900000000000;-0,31;3;1450,00;46255,00
"XZAG";"RIVP";"HRRIVPRA0000";"2021-11-24";"CT";32,00;32,10;32,00;32,00;32,001541850220;0,00;36;34050,00;1089652,50
"XZAG";"RIVP";"HRRIVPRA0000";"2021-11-23";"CT";32,00;32,10;31,90;32,00;31,985305820828;0,00;27;35184,00;1125371,00
